,WSS,BSS
0,34304131553821.184,339695544396351.75
1,13141750079867.158,360857925870305.75
2,4042798670162.644,369956877280010.25
3,2643494483703.2065,371356181466469.7
4,1189448880250.2727,372810227069922.7
5,617560288600.1866,373382115661572.75
6,331870721940.1046,373667805228232.75
7,268005370190.35138,373731670579982.56
8,240937149373.01804,373758738800799.9
9,147524599383.75168,373852151350789.2
10,115491200778.66808,373884184749394.25
11,96537001144.1441,373903138949028.7
12,52681173204.29244,373946994776968.56
13,42978905732.292404,373956697044440.56
14,33796562375.798412,373965879387797.2
15,24665258510.506866,373975010691662.5
16,21845693393.377247,373977830256779.6
17,19135723165.766975,373980540227007.2
18,11942934407.591993,373987733015765.3
19,10051742366.123219,373989624207806.8
20,9276505921.54205,373990399444251.4
21,8578502973.088036,373991097447199.8
22,7613782922.734367,373992062167250.2
23,6340547448.466563,373993337320272.44
24,5650954293.625899,373994027588369.94
25,5030786450.959229,373994647756212.56
26,4410891829.589703,373995267650833.9
27,3984571789.0897055,373995693970874.3
28,3749552754.547529,373995928989908.9
29,3454417123.047529,373996224125540.4
30,2941883487.6808615,373996736659175.75
31,2677670001.921902,373997002277167.56
32,2340343379.941711,373997339886324.0
33,2232520574.342197,373997447709129.6
34,2058660779.990202,373997619138527.0
35,1968241902.0657113,373997709557404.94
36,1739286295.8639045,373997941149221.3
37,1605276622.2020779,373998075534932.56
38,1495296028.6849506,373998188184112.4
39,1379014365.9106388,373998302002637.3
40,1303470372.4126878,373998373674046.75
41,1231473189.6024585,373998445671229.56
42,1094664490.211521,373998582479928.94
43,966780800.8781874,373998710363618.3
44,862037926.544853,373998815106492.6
45,824033314.0448531,373998853111105.1
46,787917595.5982003,373998888585821.0
47,737509172.7720927,373998938705582.25
48,714985071.8565063,373998961830464.25
49,664265342.9298602,373999012550193.2
50,637674449.6591909,373999038745452.7
51,579388199.0051402,373999097031703.4
52,560289601.0108777,373999116130301.3
53,547819297.5259562,373999128434699.44
54,531059224.83782536,373999145194772.1
55,510314519.1487482,373999166820739.0
56,482290244.88325816,373999194317381.25
57,472010545.3832582,373999204597080.75
58,441745812.67370653,373999234413593.44
59,422980891.4885216,373999253178514.6
60,410683038.82279724,373999266026675.0
61,389383766.4511532,373999287325947.44
62,372804228.1178199,373999303905485.75
63,357353879.1920248,373999319355834.75
64,350290530.7866504,373999326639794.4
65,347256054.8607244,373999329674270.3
66,331874746.4048042,373999344669208.7
67,313230847.5582355,373999363683829.94
68,305124944.5835522,373999371769120.8
69,288822839.75021863,373999388071225.6
70,277990675.8420555,373999398903389.56
71,276697978.69860685,373999401142966.44
72,271550130.6986068,373999406290814.44
73,268054703.3087781,373999410007849.6
74,261150728.0183047,373999417029059.3
75,256984080.51213187,373999421195706.8
76,250115087.43032652,373999427638114.75
77,241089832.93032655,373999436663369.3
78,231131689.61782655,373999446621512.6
79,219364166.46943766,373999458527916.56
80,207803329.45191914,373999470424965.4
81,197369288.34986752,373999480859006.44
82,194396019.48246187,373999483565291.6
83,192272924.56175312,373999485674978.6
84,187661673.1882844,373999490445598.44
85,178881150.85260916,373999498979959.6
86,172705255.45475602,373999503831035.75
87,168854497.7772842,373999507774780.94
88,167304803.379136,373999509324475.4
89,162917516.79864943,373999513711761.9
90,158100346.99747813,373999518556655.06
91,156080744.99747813,373999520576257.06
92,154032858.42985278,373999522589292.8
93,153515732.02582315,373999523878564.7
94,150168496.51723877,373999527158761.5
95,147823670.0431474,373999529509427.3
96,145701672.04820177,373999531553279.8
97,142869582.67159218,373999534385369.2
98,139371950.46347818,373999537767251.25
99,137496772.1120313,373999539483061.1
100,135241244.26362404,373999541513005.3
101,133139543.763624,373999543614705.9
102,128382310.78367987,373999547848477.2
103,124866916.78374235,373999551448160.56
104,125219145.10503393,373999551431618.06
105,122639142.32818808,373999554011620.9
106,121140431.27882423,373999555517191.44
107,119205452.40790142,373999557309970.94
108,116065885.38501686,373999560477224.1
109,114181632.76173529,373999562208283.75
110,113075729.25245485,373999563302371.1
111,111520938.6433837,373999564993771.75
112,110617267.63031338,373999565875646.2
113,108672804.42198005,373999567820109.4
114,106400816.23448007,373999570092097.56
115,104999551.2353767,373999571521751.7
116,103952772.77888873,373999572635889.2
117,102060464.6595574,373999574492798.8
118,100966574.8852639,373999575571722.4
119,98281422.83969158,373999578256874.44
120,96885077.34417911,373999579653220.0
121,94743141.76141517,373999581795155.6
122,93916929.8864152,373999582621367.5
123,92848542.43344969,373999583600855.3
124,90313066.68011157,373999586136331.06
125,87907786.67646278,373999588622306.0
126,86942984.1764628,373999589587108.5
127,86479725.58959225,373999590052579.94
128,85382173.2743217,373999591171337.7
129,84179159.74711078,373999592374351.25
130,81878467.64827462,373999594675043.4
131,80497285.00599548,373999596026134.0
132,79572136.8675081,373999596983932.06
133,78053112.85367273,373999598342824.4
134,78795374.29920699,373999597760694.6
135,77256953.46538194,373999599190763.06
136,76762603.84020925,373999599666438.7
137,76362118.21520925,373999600066924.3
138,75853787.14361021,373999600621814.0
139,74547483.07606125,373999601839910.25
140,73885033.07606123,373999602502360.3
141,73209325.45106123,373999603178067.94
142,72412565.75074115,373999603974827.6
143,71802808.97522107,373999604596624.06
144,70863625.36800031,373999605545657.6
145,70128183.3750918,373999606287625.4
146,69220115.3607008,373999607196316.1
147,67986911.21736674,373999608488900.0
148,67452869.21736674,373999609022942.0
149,66374446.89142963,373999610122883.4
150,65711996.891429596,373999610785333.44
151,64886779.900110036,373999611649773.0
152,64452076.511221156,373999612084476.44
153,63654977.68247619,373999612881575.25
154,62587628.243700676,373999613948924.7
155,62187014.743624955,373999614314200.94
156,61703452.728055604,373999614805429.4
157,61125201.944141574,373999615380379.7
158,60366932.50656737,373999616113078.1
159,59810510.024571486,373999616671930.44
160,59369410.47123422,373999617117197.4
161,58678647.79254138,373999617814245.25
162,58467524.55771628,373999618025368.5
163,58024396.89565969,373999618501694.7
164,57629769.165328175,373999618901550.06
165,57229283.54032816,373999619302035.7
166,56981262.05729829,373999619550057.1
167,56231851.91715719,373999620222004.0
168,55508625.626616836,373999620876729.6
169,54863463.603273235,373999621505633.94
170,54656046.10327322,373999621713051.44
171,54232869.47827324,373999622136228.06
172,53525600.47389312,373999622821019.4
